Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),AirTemperature(C),filename
2011,4,25,0,-12.77,KAN_B_hour_v03.csv
2011,4,25,1,-12.94,KAN_B_hour_v03.csv
2011,4,25,2,-13.9,KAN_B_hour_v03.csv
2011,4,25,3,-14.9,KAN_B_hour_v03.csv
2011,4,25,4,-14.95,KAN_B_hour_v03.csv
2011,4,25,5,-16.25,KAN_B_hour_v03.csv
2011,4,25,6,-16.32,KAN_B_hour_v03.csv
2011,4,25,7,-16.51,KAN_B_hour_v03.csv
2011,4,25,8,-14.43,KAN_B_hour_v03.csv
2011,4,25,9,-14.33,KAN_B_hour_v03.csv
2011,4,25,10,-13.41,KAN_B_hour_v03.csv
2011,4,25,11,-12.08,KAN_B_hour_v03.csv
2011,4,25,12,-10.93,KAN_B_hour_v03.csv
2011,4,25,13,-9.27,KAN_B_hour_v03.csv
2011,4,25,14,-9.54,KAN_B_hour_v03.csv
2011,4,25,15,-9.68,KAN_B_hour_v03.csv
2011,4,25,16,-9.48,KAN_B_hour_v03.csv
2011,4,25,17,-9.27,KAN_B_hour_v03.csv
2011,4,25,18,-8.02,KAN_B_hour_v03.csv
2011,4,25,19,-8.35,KAN_B_hour_v03.csv
2011,4,25,20,-8.74,KAN_B_hour_v03.csv
2011,4,25,21,-8.98,KAN_B_hour_v03.csv
2011,4,25,22,-9.31,KAN_B_hour_v03.csv
2011,4,25,23,-9.88,KAN_B_hour_v03.csv
2011,4,26,0,-10.81,KAN_B_hour_v03.csv
2011,4,26,1,-11.24,KAN_B_hour_v03.csv
2011,4,26,2,-10.99,KAN_B_hour_v03.csv
2011,4,26,3,-11.94,KAN_B_hour_v03.csv
2011,4,26,4,-13.2,KAN_B_hour_v03.csv
2011,4,26,5,-13.24,KAN_B_hour_v03.csv
2011,4,26,6,-15.19,KAN_B_hour_v03.csv
2011,4,26,7,-14.9,KAN_B_hour_v03.csv
2011,4,26,8,-14.33,KAN_B_hour_v03.csv
2011,4,26,9,-12.24,KAN_B_hour_v03.csv
2011,4,26,10,-11.72,KAN_B_hour_v03.csv
2011,4,26,11,-11.44,KAN_B_hour_v03.csv
2011,4,26,12,-10.34,KAN_B_hour_v03.csv
2011,4,26,13,-9.81,KAN_B_hour_v03.csv
2011,4,26,14,-9.51,KAN_B_hour_v03.csv
2011,4,26,15,-9.03,KAN_B_hour_v03.csv
2011,4,26,16,-8.66,KAN_B_hour_v03.csv
2011,4,26,17,-8.63,KAN_B_hour_v03.csv
2011,4,26,18,-9.12,KAN_B_hour_v03.csv
2011,4,26,19,-9.8,KAN_B_hour_v03.csv
2011,4,26,20,-10.42,KAN_B_hour_v03.csv
2011,4,26,21,-11.22,KAN_B_hour_v03.csv
2011,4,26,22,-11.74,KAN_B_hour_v03.csv
2011,4,26,23,-12.19,KAN_B_hour_v03.csv
2011,4,27,0,-12.66,KAN_B_hour_v03.csv
2011,4,27,1,-13.96,KAN_B_hour_v03.csv
2011,4,27,2,-13.3,KAN_B_hour_v03.csv
2011,4,27,3,-13.91,KAN_B_hour_v03.csv
2011,4,27,4,-15.31,KAN_B_hour_v03.csv
2011,4,27,5,-15.6,KAN_B_hour_v03.csv
2011,4,27,6,-16.07,KAN_B_hour_v03.csv
2011,4,27,7,-15.47,KAN_B_hour_v03.csv
2011,4,27,8,-14.74,KAN_B_hour_v03.csv
2011,4,27,9,-14.75,KAN_B_hour_v03.csv
2011,4,27,10,-14.1,KAN_B_hour_v03.csv
2011,4,27,11,-12.32,KAN_B_hour_v03.csv
2011,4,27,12,-10.2,KAN_B_hour_v03.csv
2011,4,27,13,-9.43,KAN_B_hour_v03.csv
2011,4,27,14,-8.87,KAN_B_hour_v03.csv
2011,4,27,15,-8.79,KAN_B_hour_v03.csv
2011,4,27,16,-8.31,KAN_B_hour_v03.csv
2011,4,27,17,-7.79,KAN_B_hour_v03.csv
2011,4,27,18,-7.17,KAN_B_hour_v03.csv
2011,4,27,19,-7.61,KAN_B_hour_v03.csv
2011,4,27,20,-8.43,KAN_B_hour_v03.csv
2011,4,27,21,-9.26,KAN_B_hour_v03.csv
2011,4,27,22,-9.79,KAN_B_hour_v03.csv
2011,4,27,23,-10.83,KAN_B_hour_v03.csv
2011,4,28,0,-11.87,KAN_B_hour_v03.csv
2011,4,28,1,-12.34,KAN_B_hour_v03.csv
2011,4,28,2,-10.45,KAN_B_hour_v03.csv
2011,4,28,3,-9.43,KAN_B_hour_v03.csv
2011,4,28,4,-9.57,KAN_B_hour_v03.csv
2011,4,28,5,-9.45,KAN_B_hour_v03.csv
2011,4,28,6,-8.83,KAN_B_hour_v03.csv
2011,4,28,7,-8.74,KAN_B_hour_v03.csv
2011,4,28,8,-8.88,KAN_B_hour_v03.csv
